Código	Nome_da_Entidade	Tipos_de_pagamento_associados	Marcas_e_empresas_associadas
10061	NOS_Comunicações,_S.A.	telecomunicações	_
10081	OTLIS_-_Operadores_de_Transportes_da_Região_de_Lisboa,_A.C.E.	passe_do_Metro_de_Lisboa,_passe_da_Carris	
10083	TIP_-_Transportes_Intermodais_do_Porto,_A.C.E.	passe_do_Metro_do_Porto,_passe_dos_STCP	
10095	Direcção-Geral_do_Tesouro_e_Finanças	execuções_fiscais	
10121	ACP_-_Automóvel_Clube_de_Portugal		
10128	Fidelidade_-_Companhia_de_Seguros,_S.A.	seguros	
10130	Eden_Springs_Portugal,_S.A.	soluções_de_água_e_café	
10131	TAP_-_Transportes_Aéreos_Portugueses,_S.A.		
10132	Liberty_Seguros,_S.A.	seguros	
10155	Loja_do_Condomínio		
10158	Vodafone_Portugal_-_Comunicaçõess_Pessoais,_S.A.	telecomunicações	
10175	Seleções_do_Readers_Digest,_S.A.		
10208	Global_Notícias_-_Publicações,_S.A.	anúncios	Jornal_de_Notícias
10211	Câmara_Municipal_do_Porto		
10212	Motor_Press_Lisboa_-_Edição_e_Distribuição_S.A.	assinatura_de_revistas	
10227	Caravela_-_Companhia_de_Seguros,_S.A.	seguros	
10231	INATEL		
10241	HiPay_CompraFácil	serviço_de_gestão_de_pagamentos_MB_a_entidades_terceiras	
10244	Victoria_Seguros,_S.A.	seguros	
10261	OK_Teleseguro	seguros	
10294	Ageas_Portugal_-_Companhia_de_Seguros,_S.A.	seguros	
10297	Vodafone_Portugal_-_Comunicaçõess_Pessoais,_S.A.	telecomunicações	
10311	Ordem_Dos_Engenheiros		
10314	IPVC_-_Instituto_Politécnico_de_Viana_do_Castelo	propinas	
10335	Ordem_Dos_Enfermeiros		
10351	NOS_Madeira_Comunicações,_S.A.	telecomunicações	
10363	Fnac		
10404	COFAC_-_Cooperativa_de_Formação_e_Animação_Cultural,_C.R.L.	propinas	Universidade_Lusófona
